question,answer_llm,answer_orig,document
"Which Python package should I add to use Ollama from code, and what is the installation command?","You should add the **`ollama`** Python package.

Installation command:

```bash
pip install ollama
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How can I fix a connection refused issue when my Ollama-based RAG notebook stops responding during homework?,"Restart the Ollama server. Run:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stopped and restarted the notebook cell, make sure to rerun the cell containing `ollama serve` as well.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
Is there a command I can run to relaunch Ollama in the background when the RAG setup fails to connect?,"Yes — run:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

This restarts Ollama in the background if the RAG setup gets a connection refused error.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
Can you show a minimal example of calling Ollama from Python and reading back the model’s reply?,"Yes — here is the minimal example from the course materials:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```

If you want, I can also show the same example with a literal prompt string and the `pip install ollama` step.","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What dependencies and setup are needed to make structured parsing work with Gemini through the OpenAI Python library?,"You need:

- `pydantic` installed, because `chat.completions.parse` relies on it  
  - in the course setup this is noted as: `uv add pydantic`
- the OpenAI Python library
- `python-dotenv` if you want to load the Gemini key from a `.env` file
- a Gemini API key in `GEMINI_API_KEY`
- an OpenAI client configured to use Google’s OpenAI-compatible base URL:
  `https://generativelanguage.googleapis.com/v1beta/openai/`

Minimal setup example:

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)
```

Then use:

```python
response = client.chat.completions.parse(
    model=""gemini-3.1-flash-lite"",
    messages=messages,
    response_format=YourPydanticModel
)
```

So the key dependency for structured parsing is `pydantic`, and the key configuration is using the OpenAI SDK with Gemini’s OpenAI-compatible endpoint.","To get parsed structured output, use the OpenAI SDK's chat-completions parsing flow instead of the newer Responses API. This is the right choice when you want to stay on the OpenAI SDK but call a chat-completions-compatible model like Gemini through the OpenAI-compatible endpoint.

First, define the structure you want Gemini to return as a Pydantic model:

```python
from pydantic import BaseModel

class Question(BaseModel):
    question: str
    answer: str

class Questions(BaseModel):
    questions: list[Question]
```

Then call `chat.completions.parse` with `response_format=Questions`. Pass the same kind of `messages` you would to any chat completion:

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(
    api_key=os.getenv(""GEMINI_API_KEY""),
    base_url=""https://generativelanguage.googleapis.com/v1beta/openai/""
)

messages = [
    {""role"": ""developer"", ""content"": ""Generate three FAQ questions about RAG.""},
    {""role"": ""user"", ""content"": ""Topic: structured output with Gemini""}
]

response = client.chat.completions.parse(
    model=""gemini-3.1-flash-lite"",
    messages=messages,
    response_format=Questions
)

result = response.choices[0].message.parsed
print(result.questions)
```

Notes:
- This approach keeps using the OpenAI SDK while leveraging Gemini through Google's endpoint.
- The parsed output (e.g., `result.questions`) is a Pydantic object available directly, with no manual JSON parsing.
- `chat.completions.parse` requires `pydantic` (`uv add pydantic`).",341f71f28c
What should I do if I need to bring the Ollama server back up after restarting the notebook?,"If you restart the notebook and need to bring the Ollama server back up, rerun the cell that starts it:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you had stopped and restarted the notebook cell, make sure to rerun the cell containing `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
Do I need to execute the server start cell again after stopping and reopening the notebook session?,"Yes — if you stop and restart the notebook session, you should rerun the cell that starts `ollama serve`:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

The server needs to be started again after the session is restarted.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
What is the recommended way to recover from an Ollama connection error while working on the RAG assignment?,"Restart the Ollama server with:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stop and restart the notebook cell, make sure to rerun the cell that contains `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
What hidden formatting tokens does a chat completion request add before the model sees my prompt?,"Each `chat.completions.create()` message gets internal chat-formatting tokens before the model sees your prompt:

- **4 structural tokens per message** for things like role, content, and separators
- **2 extra tokens globally** to mark the start of assistant response generation

So the hidden formatting is essentially **4 tokens per message + 2 global tokens**.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Why might small things like newlines, spaces, or unusual Unicode change the token total?","Small things can change the token total because tokenization is sensitive to exact text formatting. Extra newlines, whitespace, or unusual Unicode characters may be split into different tokens or add extra ones, so the count can shift slightly even if the visible text looks the same.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How does OpenAI count tokens for each message in a `chat.completions.create()` call?,"OpenAI counts **each message** in a `chat.completions.create()` call as:

- **4 structural tokens per message**  
  This covers the chat formatting overhead like the role, separators, and content wrapper.
- **+2 global tokens** for the start of assistant generation.

So even if your visible prompt text is, say, 320 tokens with `tiktoken.encode()`, OpenAI may report something like 327 because of these extra internal tokens. Extra whitespace, newlines, or unusual Unicode can also change the count slightly.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What is a reliable way to decide the best weights for different fields in a search ranking setup?,"A reliable way is to **evaluate different weight settings against a ground-truth dataset**.

Practical approach:
1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like **hit rate**, **precision@k**, **recall@k**, or **MRR**.

You can use trial and error for small projects, but evaluation on labeled examples is the more reliable method.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"If my prompt text is 320 tokens locally, why could the API report something like 327 tokens instead?","Because the API counts more than just your visible prompt text.

If `tiktoken.encode()` says 320 tokens locally, OpenAI’s API may report something like 327 because:

- each chat message adds internal formatting tokens
- the API adds a couple of tokens to mark the assistant response start
- whitespace, newlines, or unusual Unicode can add a few extra tokens

So the difference is usually from OpenAI’s chat/message overhead, not from your text itself.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
Why can the number of tokens I get from `tiktoken.encode()` be lower than the count shown by the OpenAI chat API?,"Because `tiktoken.encode()` only counts the tokens in the text you pass it, while the OpenAI chat API also adds hidden formatting tokens.

In particular:

- Each chat message adds about **4 structural tokens** for role/content/separators.
- The API adds about **2 extra tokens** to start the assistant response.
- Extra whitespace, newlines, or unusual Unicode can also change the count.

So the visible text may be 320 tokens in `tiktoken`, but the chat API can report something like 327 because of these internal additions.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Is it okay to pick field weights by trial and error, or should I build an evaluation set first?","It’s better to build a small evaluation set first and use that to choose the field weights.

The systematic approach is:
1. Create a set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like hit rate, precision@k, recall@k, or MRR.

You can do trial and error for small projects, but evaluation is the more reliable approach.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"If I want to tune minsearch field weights, what kind of test set and metrics should I use to compare options?","Use a **small ground-truth test set**:

1. Create a set of **representative questions**.
2. Label which **documents should be retrieved** for each question.
3. Try different **field weight** settings.
4. Compare them with retrieval metrics like **hit rate**, **precision@k**, **recall@k**, or **MRR**.

That’s the recommended way to compare minsearch field weights.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What does uv do when hardlinking between its cache and the environment is not possible?,"When hardlinking isn’t possible, `uv` falls back to **copying the files**.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What steps should I follow to evaluate and compare different weighting schemes for document search?,"To evaluate and compare different weighting schemes for document search, follow this approach:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weight settings.
4. Compare the results using retrieval metrics such as:
   - hit rate
   - precision@k
   - recall@k
   - MRR

For small projects, you can also tune weights by trial and error, but using a ground-truth evaluation set is the more reliable method.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
How can I silence the uv hardlink warning just for my current terminal session?,"Set:

```bash
export UV_LINK_MODE=copy
```

This silences the hardlink warning for your current terminal session only.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"In GitHub Codespaces, if uv reports that it cannot hardlink files, should I worry that the install failed?","No. In GitHub Codespaces, if `uv` says it cannot hardlink files, the install still succeeds. `uv` just falls back to copying the files instead. You can ignore the warning.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I measure whether one set of search weights is better than another for retrieval quality?,"Create a small ground-truth evaluation set and compare retrieval metrics.

A systematic way is:

1. Make representative queries.
2. Mark which documents should be retrieved for each query.
3. Run both weight settings.
4. Compare metrics like:
   - hit rate
   - precision@k
   - recall@k
   - MRR

The better weight setting is the one that scores higher on your evaluation dataset.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"Why does uv sometimes show a hardlink warning in Codespaces, and does it stop the package from being installed?","`uv` shows that hardlink warning in GitHub Codespaces because it can’t hardlink files between the cache and the target environment there. It’s **not an error**.

The package **still gets installed** — `uv` just falls back to **copying** the files instead of hardlinking them.

If you want to suppress the warning in the current shell:

```bash
export UV_LINK_MODE=copy
```

Or make it permanent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What command should I add to my shell startup file so uv always uses copy mode in Codespaces?,"Add this to your shell startup file:

```bash
export UV_LINK_MODE=copy
```

For example, in `~/.bashrc`:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"If I already use direnv, what is the usual setup for keeping secrets in a project and enabling them for that directory?","If you already use `direnv`, the usual setup is:

1. Create a `.envrc` file in your project.
2. Put your secret exports there, for example:
   ```bash
   export OPENAI_API_KEY=sk-...
   ```
3. Run:
   ```bash
   direnv allow
   ```
4. Make sure `.envrc` is added to `.gitignore`.

After that, the variables are enabled automatically when you `cd` into that directory.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
Is there a tool you recommend for managing environment variables from both .env and .envrc files across different terminals and OSes?,"Yes — I recommend **`dirdotenv`**. It works with both **`.env`** and **`.envrc`**, and is more portable across different shells and operating systems than `direnv`.

Example:

```bash
uv tool install dirdotenv

# add to ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh
```

Then in your project:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the variables load automatically when you `cd` into the directory.

If you already use **`direnv`**, that’s also fine.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"What is the safest way to store API credentials locally so they do not get committed to GitHub, and what files should be ignored?","The safest way is to store credentials in a local `.env` file, load them with `python-dotenv`, and **never commit that file to GitHub**.

You should ignore:

```gitignore
.env
```

It’s also a good idea to commit a `.env.example` file with only the variable names and no secret values, so others can create their own local `.env`.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"How can I make my OpenAI key load automatically whenever I enter a project folder, instead of typing exports in every new shell?","Use `dirdotenv`. It automatically loads your API key when you `cd` into the project folder.

```bash
uv tool install dirdotenv

# add to ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh
```

Then, inside your project:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key will be loaded automatically in that directory, so you don’t have to re-export it in every new shell.

If you already use `direnv`, that also works: put your exports in `.envrc` and run `direnv allow`.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
I’m getting an error that says dotenv can’t be found. Which Python package do I need to add to my environment?,"You need to install **`python-dotenv`**.

For example:

```bash
uv add python-dotenv
```

Then use:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"In a Python script, how do I read variables from a .env file at startup without manually setting them in the shell?","Use `python-dotenv` to load the `.env` file at startup:

```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()  # loads variables from .env

my_var = os.getenv(""MY_VAR"")
```

Put your variables in a `.env` file in the project root, for example:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

Also add `.env` to `.gitignore` so it’s not committed.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
My notebook says the dotenv module is missing. What is the correct dependency to add with uv?,"Add `python-dotenv` with uv:

```bash
uv add python-dotenv
```

","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What should I install so I can use load_dotenv() in my code?,"You should install **`python-dotenv`**.

```bash
pip install python-dotenv
```

Then you can use:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Could you show the package installation step and the import needed to enable environment loading in Python?,"Sure — the course uses `python-dotenv` for loading environment variables.

### Install
```bash
uv add python-dotenv
```

### Import and load env vars
```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How do I set up my project to read variables from a .env file in Python?,"Install `python-dotenv`, create a `.env` file, and load it before using `os.getenv()`:

```bash
pip install python-dotenv
```

`.env`:
```env
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Python:
```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Also add `.env` to `.gitignore` so it isn’t committed:

```gitignore
.env
```
","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"What cleanup should I do on my source files before building a RAG pipeline, and what kind of extra content should I avoid removing?","Before building a RAG pipeline, clean your source files by removing obvious noise such as:

- broken HTML
- duplicate text
- boilerplate
- OCR errors
- repeated headers
- repeated footers

But don’t remove useful context like:

- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

The goal is to make retrieval more accurate, not just to make the text shorter.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to convert my documents into JSON for retrieval, or can I use another format if it is easier to process?","No, JSON is not mandatory. You can use another format if it is easier to process.

The goal is to make the documents clean, structured, and easy to chunk and retrieve. JSON is often convenient, but the exact format depends on your source data. Keep useful metadata and preserve context where possible.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
