question,document
"If a notebook can execute the steps, what does an orchestrator add for a real AI pipeline besides plain code execution?",193612db63
Why is Kestra used in this module instead of staying in Jupyter for the whole workflow?,193612db63
"What production needs does orchestration cover, such as running on a schedule or recovering from failures?",193612db63
"How does the course use Kestra to demonstrate AI Copilot, retrieval-augmented generation, and agent-based tool use?",193612db63
"Can I switch between OpenAI, Gemini, and Anthropic in the same flow without rewriting the rest of the pipeline?",193612db63
"For the third module, do I have to use Kestra, or is it just the example tool for the lessons?",cce328db64
"When I build the final project, can I choose Airflow, Prefect, Dagster, or even skip orchestration entirely?",cce328db64
"If my project data pipeline is only a Python script, will that still satisfy the ingestion requirement for full credit?",cce328db64
Does a notebook that performs the same ingestion and indexing steps count the same as a scripted pipeline in the project rubric?,cce328db64
"Why does the course specifically teach Kestra in that module instead of another scheduler like Airflow, and can I still try a different one later?",cce328db64
"Why can a chat assistant invent Kestra task fields that look reasonable but fail for my installed version, and what should I do instead?",93a3e8b98c
"In the GCS upload example, which parameter is actually used in the YAML, and why is the other common-looking pair wrong?",93a3e8b98c
"For loading data into BigQuery from GCS in Kestra, what single field replaces the separate project, dataset, and table values?",93a3e8b98c
How can I check whether AI-generated Kestra flow YAML matches the plugin API before I run it?,93a3e8b98c
"Does the correct Kestra YAML for a plugin stay the same across releases, or can it change between versions?",93a3e8b98c
"Besides Gemini, which AI backends can I plug into Kestra, and does it work with local inference servers like Ollama or LM Studio?",f442efe5b4
"If I want to change from one model vendor to another in a Kestra flow, do I need to rewrite the workflow, or is there a simpler way to switch providers?",f442efe5b4
"Why does the course examples use Gemini instead of other models, and are there recommended free or free-tier alternatives listed in the repo?",f442efe5b4
"What is the difference between Kestra’s generic AI plugin and the vendor-specific plugins, and when would I prefer one over the other?",f442efe5b4
"For OpenAI-style services such as Groq or DeepSeek, how do I point Kestra to the correct API endpoint if there is no dedicated plugin?",f442efe5b4
"What ways does Kestra offer for building a workflow without editing YAML by hand, and how do those options differ from each other?",bfe5502c30
"If I describe an automation in plain language, can Kestra turn that into a flow and then let me refine it afterward?",bfe5502c30
Is there a way to create and send Kestra workflows from my editor or local tooling instead of using the web interface?,bfe5502c30
"How does Kestra keep application code separate from workflow logic, and why is that different from Airflow?",bfe5502c30
"For a very simple automation, when would a lighter tool like Zapier or n8n be a better choice than Kestra?",bfe5502c30
"Why does Docker Desktop refuse to mount a folder under /tmp when I start my container, and what setting do I need to change?",dd8b4c9fda
What steps should I follow in Docker Desktop to allow a workflow container to use a host directory like /tmp/kestra-wd?,dd8b4c9fda
How can I make the 'path ... is not shared from the host' Docker error go away without changing my compose file?,dd8b4c9fda
Where in Docker Desktop do I add a local folder so Kestra can mount it during startup?,dd8b4c9fda
"After I update Docker Desktop’s sharing settings, what should I do next to bring the service back up?",dd8b4c9fda
"For the Module 3 Kestra homework, what should I upload to the public repository if I built the workflows in the Kestra interface instead of writing a normal project from scratch?",f29f622684
"Do I need to include the YAML flow definitions from Kestra in my GitHub repo, or is a short README with my answers enough for the homework submission?",f29f622684
"If my homework was created entirely inside Kestra, what files or artifacts should I commit so the instructor can review my work through the repo link?",f29f622684
"Where should I place the exported Kestra flows in the repository, and do I need to make the repo public before submitting it?",f29f622684
"For the Module 3 homework form, should the written answers be inside the repository, or are they entered separately in the submission fields?",f29f622684
"Why does my notebook kernel die when I try to embed the reference set, and what part of the environment is usually to blame?",b8f2d6a30c
What are the best ways to avoid running out of memory during the embedding step in a low-RAM setup like Codespaces or a small laptop?,b8f2d6a30c
"If I replace the embedding model with a lighter one, do I need to repeat the evaluation, and why?",b8f2d6a30c
Is it a good idea to compute embeddings in a standalone script and then bring the saved results back into the notebook?,b8f2d6a30c
"Can batching the data help with memory issues during embedding, and what cleanup should I do between batches?",b8f2d6a30c
Why does adding a short pause between Gemini calls still not guarantee I can finish a full dataset run without errors?,c1e9f4b820
What are some cheaper or easier model choices if I keep getting blocked while creating the reference answers?,c1e9f4b820
How can I reduce the chance of exhausting request limits when using a threaded pipeline for evaluation data generation?,c1e9f4b820
"If my long generation job gets cut off by quota issues, what is a practical way to continue instead of starting over?",c1e9f4b820
Is there a way to avoid losing all the work already produced when I hit API usage caps mid-run?,c1e9f4b820
I’m getting a WinError 126 on Windows when Python tries to load torch’s fbgemm DLL. What should I install to fix the missing dependency issue?,15e931476c
"If a PyTorch import fails because fbgemm.dll cannot be found on Windows, what runtime or package is usually required?",15e931476c
"Could this torch DLL error on Windows be caused by missing Microsoft Visual C++ components, and if so, what should I add?",15e931476c
What is the recommended fix when fbgemm.dll or one of its dependencies is missing in a Windows Python environment?,15e931476c
"Does this kind of PyTorch load error on Windows require Visual Studio itself rather than just VS Code, and why?",15e931476c
"I'm getting a psycopg2 OperationalError in prep.py saying it can't resolve the host name ""postgres"". What should I change in my environment settings to make the connection work?",4b65d5542d
"When I run python prep.py, the database connection fails because the host ""postgres"" is not known. Which value should I put in the config file instead?",4b65d5542d
"How can I fix the host resolution problem for psycopg2 if the application is trying to connect to a server called ""postgres"" and fails with a translation error?",4b65d5542d
My prep script throws an OperationalError about not being able to translate the host name. What update should I make in the .env file so it uses the right database host?,4b65d5542d
"In the monitoring module, what is the correct database host setting to use when psycopg2 cannot find the host named ""postgres""?",4b65d5542d
"Why would a Kestra flow keep an eye on token counts for LLM calls, instead of just logging the prompt and output text?",a4adc70f41
How does measuring tokens help when you want to reduce LLM spending in an automated workflow?,a4adc70f41
"In a scheduled or looping orchestration, what kind of problem can happen if token consumption is not watched closely?",a4adc70f41
What practical benefits do you get from seeing token totals for each AI step in Kestra runs?,a4adc70f41
How can the token statistics returned by an LLM provider be used inside a Kestra pipeline?,a4adc70f41
How can I calculate the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What is the Pandas method for getting a 0.75 quantile from a Series?,b4c8ac5a0c
How do I compute a percentile value for one DataFrame field using Pandas?,b4c8ac5a0c
"If I have a Series in Pandas, how can I find its upper quartile?",b4c8ac5a0c
What code should I use to get the 75% quantile of a column in Pandas?,b4c8ac5a0c
"Why does parsing the model output with `json.loads(...)` sometimes crash with a value-at-start JSON error when I’m creating evaluation questions, and how can I prevent it?",a3c7e1b4f9
What is the recommended way to make the chat completion API return valid JSON so I can safely load it into Python?,a3c7e1b4f9
How should I phrase the prompt so the model returns exactly a JSON object with five question strings and nothing extra?,a3c7e1b4f9
"If the model surrounds the result with markdown fences or explanatory text, what change in the API call fixes that reliably?",a3c7e1b4f9
Do other LLM APIs have an equivalent setting for enforcing JSON-only output when generating ground-truth questions?,a3c7e1b4f9
How can I make Pandas stop shortening long strings in a DataFrame so I can read the full text in one column?,641aedbbf5
What setting should I change if I want the complete judge explanation to appear instead of a truncated preview in my notebook output?,641aedbbf5
"In Pandas, how do I display an entire long cell value rather than the default shortened version with dots?",641aedbbf5
"Which Pandas display option controls the visible length of text in a column, and how can I allow unlimited width?",641aedbbf5
I’m checking the offline RAG evaluation notebook: how do I show the full contents of the Explanation field without it getting cut off?,641aedbbf5
How can I scale each vector stored in a DataFrame column so its length becomes 1 using Pandas?,5039707c1a
What is a simple way to normalize every item in a Series when each item is a NumPy vector?,5039707c1a
"In Pandas, how do I create a new column with unit-length versions of the vectors from an existing column?",5039707c1a
How can I apply a function across a column of arrays to divide each vector by its own norm?,5039707c1a
What code pattern would you use to normalize vectors row by row in a DataFrame without writing an explicit loop?,5039707c1a
"Why does my Streamlit container fail in docker-compose with an error that the executable cannot be found, even though the app works when I run it locally?",e8df9f0d12
What files or configuration do I need to add so a Streamlit app can start correctly inside docker-compose?,e8df9f0d12
"After changing my docker setup for a Streamlit project, how should I rebuild and launch the services so the updates take effect?",e8df9f0d12
Is there a specific reason I need a Dockerfile when running Streamlit through docker-compose instead of just relying on the compose file?,e8df9f0d12
How can I fix a compose-based Streamlit deployment that breaks with a runtime error about missing the command in PATH?,e8df9f0d12
"Can the capstone be done together with classmates, or does each student need their own submission?",0fab61eca2
"If two students build one larger system, is it acceptable as long as the parts are split clearly?",0fab61eca2
Does the final project have to be evaluated separately for every person involved?,0fab61eca2
Is it okay to discuss or plan a project idea with other students before submitting?,0fab61eca2
Would a shared codebase count if each participant only contributes one independent component?,0fab61eca2
"For the capstone, do we need to turn in two separate projects, or is one project enough?",d5fc98925d
What is the difference between submission attempt 1 and attempt 2 in the project process?,d5fc98925d
"If my first project submission does not pass, am I allowed to revise it and send it again later?",d5fc98925d
"Can I submit two projects just to gain more practice, and if so, do they have to be on different topics and datasets?",d5fc98925d
"If I miss the first submission deadline, can I still join in time for the later project submission round?",d5fc98925d
"How can I make a Streamlit app let a user leave feedback only once for each submitted answer, instead of allowing repeated +1 or -1 clicks?",2e729f1271
"Why does my `st.session.submitted` flag keep becoming `True` again after I press a feedback button, and how can I stop that from happening?",2e729f1271
"In a chat-style app with an Ask button and thumbs up/down controls, what is the right way to prevent the feedback buttons from staying active after one vote?",2e729f1271
What should I check in Streamlit session state if a submission status variable is getting reset even after one of the feedback actions is used?,2e729f1271
Is there a known fix or recommended approach for the case where a Streamlit session attribute is unexpectedly reassigned while handling feedback after submission?,2e729f1271
"Is the competition itself accepted as my capstone project, or do I still need an individual submission?",e892d44e42
"Can I use the math-kaggle-llm-competition to work with teammates, even though the capstone must be done alone?",e892d44e42
"If I join the competition, does that automatically replace the capstone requirement for the course?",e892d44e42
Are groups allowed in the math-kaggle-llm-competition while the capstone remains a solo effort?,e892d44e42
What is the relationship between the competition and the capstone project in this course?,e892d44e42
"Who reviews the capstone submission, and how many reviewers are assigned to each project?",9a2e2d2008
What happens if a student does not take part in grading other students’ projects?,9a2e2d2008
How is the final score for the capstone determined from the peer reviews?,9a2e2d2008
Are the people evaluating my project also students who submitted their own projects?,9a2e2d2008
What rules should peer graders follow when scoring capstone projects?,9a2e2d2008
"Once the submission deadline is over, how will peer review assignments be distributed to students?",eae0fb50aa
How many capstone projects is each participant expected to evaluate after submissions close?,eae0fb50aa
"Will the grading assignments be given before or after the project deadline, and what format will they come in?",eae0fb50aa
What happens right after the capstone submission deadline regarding review work for participants?,eae0fb50aa
"In what way will the project review list be shared, and how many entries will it include per person?",eae0fb50aa
Where can I look for project inspiration and possible data sources for the capstone assignment?,e76a70cde3
"Is there a place with suggested topics, dataset options, and guidance for the final project?",e76a70cde3
What resource should I use if I need ideas and example datasets to start my project?,e76a70cde3
Can you point me to a page that lists project ideas together with tips on choosing a dataset?,e76a70cde3
Where should I go to find recommended datasets and some practical advice for the capstone work?,e76a70cde3
"What terminal commands can I use to force-delete every Docker container, including ones that are still running?",66ccbb7da0
How do I clear out all Docker images from my machine using the command line?,66ccbb7da0
What is the easiest way to remove every Docker volume through the terminal?,66ccbb7da0
"Can you show me separate commands to wipe containers, images, and volumes in Docker?",66ccbb7da0
"If I want a complete Docker cleanup from the shell, which commands should I run for containers, images, and volumes?",66ccbb7da0
"I turned in my capstone already, but I still don’t see anything to grade. When do review assignments appear?",a8a7fef016
"After the submission cutoff, how are projects given out for peer review, and can I pick which ones to assess?",a8a7fef016
Is it normal that I cannot start evaluating other students’ projects right after I submit mine?,a8a7fef016
Do I need to wait for an official project list before I can review anything in the capstone section?,a8a7fef016
Why am I blocked from reviewing projects even though my own submission is done?,a8a7fef016
"For the capstone project, is an orchestration platform required, or would a simple Python program be enough to cover the data ingestion part?",d4f7c08ea1
"If I build the ingestion workflow in a Jupyter notebook instead of a script, how does that affect the score for that rubric item?",d4f7c08ea1
"When would it make sense to introduce Airflow, Mage, or Kestra in a capstone project rather than keeping things minimal?",d4f7c08ea1
Can I still get the full mark for the ingestion pipeline if I only write code in Python without scheduling or workflow management?,d4f7c08ea1
"Should I choose an orchestrator just to satisfy the grading criterion, or only when my project really needs recurring data updates?",d4f7c08ea1
How can I evaluate a retrieval-based recommender system when I don't have clear reference answers for each query?,9b0e2d6a47
What is a good way to create test queries automatically so I can measure my RAG retriever on recommendation data?,9b0e2d6a47
"Besides exact-match style scoring, how can I use an LLM to judge the usefulness of my end-to-end recommender RAG output?",9b0e2d6a47
"For ranking tasks where several results could be acceptable, which metric works better than simple hit rate and why?",9b0e2d6a47
"If I generate synthetic queries from item descriptions, what ranking metrics should I compute to assess retrieval quality?",9b0e2d6a47
"Is it acceptable to complete the assignments or final project in a language like JavaScript, Go, Rust, or R instead of Python, and what should I keep in mind if I do so?",ea815eb858
"If I decide not to follow the Python-based examples, how detailed should the setup and run instructions be in my README for the reviewer?",ea815eb858
"Do homework tasks and the capstone project have to follow the same language expectations, or is there more flexibility for the final project?",ea815eb858
"What kinds of steps or commands should I include so that a non-Python submission can be reproduced on Windows, macOS, and Linux?",ea815eb858
"Why is Python the recommended choice for this course, and what problems might come up when using a different stack?",ea815eb858
"For a huge document collection with long PDFs and lots of paragraphs, how should I choose an initial chunking approach before trying more advanced methods?",6f2a8b3d10
"If I want to split documents using their structure instead of only fixed-length pieces, what strategy would you recommend and how should I test whether it helps?",6f2a8b3d10
"Would it make sense to create brief summaries for each chunk and store them together with the chunk text, and when is that useful for retrieval?",6f2a8b3d10
"When dealing with long, highly structured files like legal or financial reports, should I rely on semantic search alone or combine it with keyword search?",6f2a8b3d10
"What PDF-to-markdown parsing tools are good before chunking, and how should I decide whether my new chunking setup is actually better?",6f2a8b3d10
Is it necessary to reserve my capstone topic before I begin working on it?,897a350476
Should I post my project idea somewhere in advance so nobody else takes it?,897a350476
Can I get feedback on a capstone idea before I start building it?,897a350476
Are projects with similar themes allowed in the capstone as long as my work is original?,897a350476
Where can I look at past capstone examples to judge the right level of difficulty?,897a350476
Is there a place to look at past capstone submissions from earlier LLM Zoomcamp cohorts?,930286278d
Can I review example project repos from previous years to understand what a strong capstone looks like?,930286278d
Where are the archived student projects for the 2024 and 2025 LLM Zoomcamp editions?,930286278d
Do you have links to earlier project showcases so I can compare scope and quality before starting mine?,930286278d
How can I browse prior Zoomcamp capstone work to get ideas for my own submission?,930286278d
Is it allowed to present my capstone through Telegram or WhatsApp rather than building a website?,7318a90b14
Could I make my project available as a CLI tool or notebook instead of a web application?,7318a90b14
"Are Slack bots, chatbots, or other custom front ends acceptable for the final project?",7318a90b14
"Do you require a specific user interface format for the capstone, or can I choose whichever one matches my idea?",7318a90b14
"Will the course show us how to build the interface for the project, or do we need to handle that part ourselves?",7318a90b14
"Am I allowed to reuse the workshop content in a capstone project, or is it only for learning in class?",d850a0e7ea
"Can I apply this open-source ingestion tool in other Zoomcamp assignments, such as the MLOps project?",d850a0e7ea
"If I want to build my own project with the workshop code, is that okay?",d850a0e7ea
May I share the materials or use them as part of work outside this workshop?,d850a0e7ea
"What kinds of projects can I use this content for, and are questions about it welcome?",d850a0e7ea
What is the command to initialize a fresh dlt project for pulling data from a filesystem into DuckDB?,6bceeebf04
How do I create a new dlt setup when my source is cloud storage and my destination is DuckDB?,6bceeebf04
Which terminal command should I run first to scaffold a dlt pipeline for filesystem ingestion?,6bceeebf04
"If I want to start a dlt project from scratch using a filesystem source, what initialization command should I use?",6bceeebf04
Where can I find the setup instructions after creating a dlt project with filesystem and DuckDB?,6bceeebf04
"In the capstone project, what counts as reproducibility for a reviewer, and do they need my secret API credentials to run it?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the app locally from the data and code?,e5d8a2c761
What is the recommended way to handle environment variables and keys in the project files without exposing secrets?,e5d8a2c761
Which model choice is preferred so that evaluators can test the project without using too many paid credits?,e5d8a2c761
What should I pin or document about dependencies and runtime versions to make the project easier to reproduce?,e5d8a2c761
"Why do I get a `FileNotFoundError` saying the table does not exist when I try `db.open_table(""notion_pages___homework"")` after running the pipeline?",0407213397
What should I check if my code still complains that `notion_pages___homework` is missing even though I expected the table to be created?,0407213397
"Could the issue be caused by leaving an old table name in the pipeline config, and how do I verify that?",0407213397
"I renamed the target table to `homework`, but opening it still fails; what configuration value might I have forgotten to update everywhere?",0407213397
"If the table name error mentions `employee_handbook` somewhere, what does that tell me about the pipeline setup?",0407213397
"Which text-extraction tools are reasonable to try for PDFs in my RAG pipeline, especially if I want to avoid being locked into one specific library?",d8b28c47a0
"If my source files are scanned pages with no embedded text, what are some OCR choices I could use before building the retrieval index?",d8b28c47a0
Are there any libraries that can turn documents into structured output like Markdown or JSON and still work well for retrieval-augmented generation?,d8b28c47a0
"Would it make sense to test a few different parsers on a small sample of my files to compare output quality, and what should I look for?",d8b28c47a0
"After I pull the text out of the documents, where can I find guidance on splitting or preparing that content for RAG?",d8b28c47a0
How should I fix the FileNotFoundError saying the notion_pages___homework table does not exist when I run main()?,e95bfafc0e
What table name am I supposed to open in line 3 if db says the homework table is missing?,e95bfafc0e
"Why does my code fail with a missing table error for notion_pages___homework, and what exact db.open_table call should I use?",e95bfafc0e
"In the dlt workshop homework, which table should be opened before calling main() so the database error goes away?",e95bfafc0e
What is the correct way to reference the homework table instead of creating a new one when working with the Notion pages example?,e95bfafc0e
"Is there already built-in support in dlt for loading data into ClickHouse or StarRocks, or are those destinations still missing?",cd19f122f3
"If I want to move data from dlt into ClickHouse, can I do that today without writing my own integration?",cd19f122f3
"What is the current status of StarRocks support in dlt, and is any connector available yet?",cd19f122f3
"Can the community help add ClickHouse and StarRocks destinations to dlt, and is the project welcoming such contributions?",cd19f122f3
"Should I expect official connectors for ClickHouse and StarRocks in dlt, or do I need to wait for them to be developed?",cd19f122f3
"Why would my notebook get a 401 Unauthorized when calling the Notion search API, and what should I check first?",0dfba07ace
"How can I tell if the issue is caused by a bad key, missing permissions, or an expired token for Notion access?",0dfba07ace
What endpoint and auth settings should I verify if my dlt notebook cannot reach Notion and keeps failing with access errors?,0dfba07ace
"If Notion API requests suddenly stop working, what steps can I take to confirm the token is still valid and configured correctly?",0dfba07ace
What is the best way to debug an authorization failure from api.notion.com in this workshop notebook?,0dfba07ace
How can I force pip to install the exact Requests release needed for LanceDB when the default install keeps giving me an older 2.28.x version?,4b30b918bc
What command should I use to pull Requests straight from the upstream archive so I get version 2.32.3 instead of the package manager’s default?,4b30b918bc
"If my environment won’t upgrade Requests beyond 2.28, what is the recommended installation approach to get the required dependency for LanceDB?",4b30b918bc
"Can I install Requests from a GitHub tag URL, and if so, what does the pip command look like for v2.32.3?",4b30b918bc
"Why might I see a 401 Client Error in this setup, and what should I check or change to resolve it?",4b30b918bc
How can I get a list of every table currently stored in the database?,e394e6f738
What method should I call if I want to see all the tables in my db?,e394e6f738
Is there a quick way to print the table names from the database object?,e394e6f738
Which function returns the names of the tables available in the database?,e394e6f738
How do I check what tables exist in the database right now?,e394e6f738
